name,constant,operant,region,atlas_id
eTIVc3,-1.23E-15,"eTIVc3 * pow(eTIVc, 3)",4th_Ventricle,SUBCOR 
eTIVc_X_GE,0.000311523,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],4th_Ventricle,SUBCOR 
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],4th_Ventricle,SUBCOR 
eTIVc_X_PHILIPS,0.000236032,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],4th_Ventricle,SUBCOR 
GE,-111.1727606,GE * G_[modality_manuf_id],4th_Ventricle,SUBCOR 
GE_X_MFSq,0,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],4th_Ventricle,SUBCOR 
Intercept,1806.129693,Intercept,4th_Ventricle,SUBCOR 
MFSq,-92.43952749,MFSq * [magnetic_field_strength],4th_Ventricle,SUBCOR 
Philips,-28.19071571,Philips * P_[modality_manuf_id],4th_Ventricle,SUBCOR 
PHILIPS_X_MFSq,0,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],4th_Ventricle,SUBCOR 
RMSE,548.6726711,RMSE,4th_Ventricle,SUBCOR 
sexq,95.42198268,sexq * [gender],4th_Ventricle,SUBCOR 
Volume,0,[volume],4th_Ventricle,SUBCOR 
agec1,-11.5120848,agec1 * agec,Brain_Stem,SUBCOR 
agec2,-1.178007096,"agec2 * pow(agec, 2)",Brain_Stem,SUBCOR 
agec3,0.011761116,"agec3 * pow(agec, 3)",Brain_Stem,SUBCOR 
AGEc_X_SEXq,-10.37931939,AGEc_X_SEXq * agec * [gender],Brain_Stem,SUBCOR 
eTIVc1,0.009590477,eTIVc1 * eTIVc,Brain_Stem,SUBCOR 
eTIVc2,3.01E-09,"eTIVc2 * pow(eTIVc, 2)",Brain_Stem,SUBCOR 
eTIVc3,0,"eTIVc3 * pow(eTIVc, 3)",Brain_Stem,SUBCOR 
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Brain_Stem,SUBCOR 
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Brain_Stem,SUBCOR 
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Brain_Stem,SUBCOR 
GE,-1152.749559,GE * G_[modality_manuf_id],Brain_Stem,SUBCOR 
GE_X_MFSq,1303.710245,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Brain_Stem,SUBCOR 
Intercept,21408.02592,Intercept,Brain_Stem,SUBCOR 
MFSq,-69.10551404,MFSq * [magnetic_field_strength],Brain_Stem,SUBCOR 
Philips,202.8871733,Philips * P_[modality_manuf_id],Brain_Stem,SUBCOR 
PHILIPS_X_MFSq,-300.1741017,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Brain_Stem,SUBCOR 
RMSE,1846.956957,RMSE,Brain_Stem,SUBCOR 
sexq,533.001694,sexq * [gender],Brain_Stem,SUBCOR 
Volume,0,[volume],Brain_Stem,SUBCOR 
agec1,-0.813273657,agec1 * agec,Caudal_anterior_cingulate_LS,DKT40  
agec2,-0.005382744,"agec2 * pow(agec, 2)",Caudal_anterior_cingulate_LS,DKT40  
agec3,-0.000681326,"agec3 * pow(agec, 3)",Caudal_anterior_cingulate_LS,DKT40  
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],Caudal_anterior_cingulate_LS,DKT40  
eTIVc1,0.000633734,eTIVc1 * eTIVc,Caudal_anterior_cingulate_LS,DKT40  
eTIVc2,2.12E-10,"eTIVc2 * pow(eTIVc, 2)",Caudal_anterior_cingulate_LS,DKT40  
eTIVc3,-4.65E-16,"eTIVc3 * pow(eTIVc, 3)",Caudal_anterior_cingulate_LS,DKT40  
eTIVc_X_GE,0.000123585,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_anterior_cingulate_LS,DKT40  
eTIVc_X_MFSq,-5.71E-05,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_anterior_cingulate_LS,DKT40  
eTIVc_X_PHILIPS,-1.07E-05,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_anterior_cingulate_LS,DKT40  
GE,-32.00713545,GE * G_[modality_manuf_id],Caudal_anterior_cingulate_LS,DKT40  
GE_X_MFSq,0,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_LS,DKT40  
Intercept,1090.130116,Intercept,Caudal_anterior_cingulate_LS,DKT40  
MFSq,-13.39332574,MFSq * [magnetic_field_strength],Caudal_anterior_cingulate_LS,DKT40  
Philips,-27.22763665,Philips * P_[modality_manuf_id],Caudal_anterior_cingulate_LS,DKT40  
PHILIPS_X_MFSq,0,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_LS,DKT40  
RMSE,144.1076681,RMSE,Caudal_anterior_cingulate_LS,DKT40  
sexq,0,sexq * [gender],Caudal_anterior_cingulate_LS,DKT40  
Volume,0,[volume],Caudal_anterior_cingulate_LS,DKT40  
agec1,-0.002797107,agec1 * agec,Caudal_anterior_cingulate_LT,DKT40  
agec2,8.69E-05,"agec2 * pow(agec, 2)",Caudal_anterior_cingulate_LT,DKT40  
agec3,0,"agec3 * pow(agec, 3)",Caudal_anterior_cingulate_LT,DKT40  
AGEc_X_SEXq,-0.000648041,AGEc_X_SEXq * agec * [gender],Caudal_anterior_cingulate_LT,DKT40  
eTIVc1,-7.03E-08,eTIVc1 * eTIVc,Caudal_anterior_cingulate_LT,DKT40  
eTIVc2,0,"eTIVc2 * pow(eTIVc, 2)",Caudal_anterior_cingulate_LT,DKT40  
eTIVc3,0,"eTIVc3 * pow(eTIVc, 3)",Caudal_anterior_cingulate_LT,DKT40  
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_anterior_cingulate_LT,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_anterior_cingulate_LT,DKT40  
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_anterior_cingulate_LT,DKT40  
GE,0.035380797,GE * G_[modality_manuf_id],Caudal_anterior_cingulate_LT,DKT40  
GE_X_MFSq,0.104993956,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_LT,DKT40  
Intercept,2.620005038,Intercept,Caudal_anterior_cingulate_LT,DKT40  
MFSq,-0.15873257,MFSq * [magnetic_field_strength],Caudal_anterior_cingulate_LT,DKT40  
Philips,0.01072385,Philips * P_[modality_manuf_id],Caudal_anterior_cingulate_LT,DKT40  
PHILIPS_X_MFSq,0.185294039,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_LT,DKT40  
RMSE,0.201995545,RMSE,Caudal_anterior_cingulate_LT,DKT40  
sexq,-0.031619415,sexq * [gender],Caudal_anterior_cingulate_LT,DKT40  
Volume,0,[volume],Caudal_anterior_cingulate_LT,DKT40  
agec1,-7.48230455,agec1 * agec,Caudal_anterior_cingulate_LV,DKT40  
agec2,0.115245178,"agec2 * pow(agec, 2)",Caudal_anterior_cingulate_LV,DKT40  
agec3,-0.002724798,"agec3 * pow(agec, 3)",Caudal_anterior_cingulate_LV,DKT40  
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],Caudal_anterior_cingulate_LV,DKT40  
eTIVc1,0.001810611,eTIVc1 * eTIVc,Caudal_anterior_cingulate_LV,DKT40  
eTIVc2,9.60E-10,"eTIVc2 * pow(eTIVc, 2)",Caudal_anterior_cingulate_LV,DKT40  
eTIVc3,-1.37E-15,"eTIVc3 * pow(eTIVc, 3)",Caudal_anterior_cingulate_LV,DKT40  
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_anterior_cingulate_LV,DKT40  
eTIVc_X_MFSq,-0.000229408,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_anterior_cingulate_LV,DKT40  
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_anterior_cingulate_LV,DKT40  
GE,-131.1575577,GE * G_[modality_manuf_id],Caudal_anterior_cingulate_LV,DKT40  
GE_X_MFSq,108.9548911,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_LV,DKT40  
Intercept,2991.108741,Intercept,Caudal_anterior_cingulate_LV,DKT40  
MFSq,-168.3001843,MFSq * [magnetic_field_strength],Caudal_anterior_cingulate_LV,DKT40  
Philips,-89.58267196,Philips * P_[modality_manuf_id],Caudal_anterior_cingulate_LV,DKT40  
PHILIPS_X_MFSq,144.1705601,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_LV,DKT40  
RMSE,441.3508808,RMSE,Caudal_anterior_cingulate_LV,DKT40  
sexq,-25.42858316,sexq * [gender],Caudal_anterior_cingulate_LV,DKT40  
Volume,0,[volume],Caudal_anterior_cingulate_LV,DKT40  
agec1,-0.888763863,agec1 * agec,Caudal_anterior_cingulate_RS,DKT40  
agec2,-0.010553422,"agec2 * pow(agec, 2)",Caudal_anterior_cingulate_RS,DKT40  
agec3,0,"agec3 * pow(agec, 3)",Caudal_anterior_cingulate_RS,DKT40  
AGEc_X_SEXq,0.455624682,AGEc_X_SEXq * agec * [gender],Caudal_anterior_cingulate_RS,DKT40  
eTIVc1,0.000427248,eTIVc1 * eTIVc,Caudal_anterior_cingulate_RS,DKT40  
eTIVc2,6.39E-11,"eTIVc2 * pow(eTIVc, 2)",Caudal_anterior_cingulate_RS,DKT40  
eTIVc3,-5.05E-16,"eTIVc3 * pow(eTIVc, 3)",Caudal_anterior_cingulate_RS,DKT40  
eTIVc_X_GE,8.29E-05,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_anterior_cingulate_RS,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_anterior_cingulate_RS,DKT40  
eTIVc_X_PHILIPS,-2.07E-05,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_anterior_cingulate_RS,DKT40  
GE,-38.09009051,GE * G_[modality_manuf_id],Caudal_anterior_cingulate_RS,DKT40  
GE_X_MFSq,0,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_RS,DKT40  
Intercept,809.4171433,Intercept,Caudal_anterior_cingulate_RS,DKT40  
MFSq,-16.82997154,MFSq * [magnetic_field_strength],Caudal_anterior_cingulate_RS,DKT40  
Philips,-27.84954547,Philips * P_[modality_manuf_id],Caudal_anterior_cingulate_RS,DKT40  
PHILIPS_X_MFSq,0,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_RS,DKT40  
RMSE,142.2592001,RMSE,Caudal_anterior_cingulate_RS,DKT40  
sexq,2.051641248,sexq * [gender],Caudal_anterior_cingulate_RS,DKT40  
Volume,0,[volume],Caudal_anterior_cingulate_RS,DKT40  
agec1,-0.000731612,agec1 * agec,Caudal_anterior_cingulate_RT,DKT40  
agec2,0.000127358,"agec2 * pow(agec, 2)",Caudal_anterior_cingulate_RT,DKT40  
agec3,-2.25E-06,"agec3 * pow(agec, 3)",Caudal_anterior_cingulate_RT,DKT40  
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],Caudal_anterior_cingulate_RT,DKT40  
eTIVc1,-2.90E-07,eTIVc1 * eTIVc,Caudal_anterior_cingulate_RT,DKT40  
eTIVc2,-1.48E-14,"eTIVc2 * pow(eTIVc, 2)",Caudal_anterior_cingulate_RT,DKT40  
eTIVc3,8.78E-19,"eTIVc3 * pow(eTIVc, 3)",Caudal_anterior_cingulate_RT,DKT40  
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_anterior_cingulate_RT,DKT40  
eTIVc_X_MFSq,1.24E-07,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_anterior_cingulate_RT,DKT40  
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_anterior_cingulate_RT,DKT40  
GE,0.137856368,GE * G_[modality_manuf_id],Caudal_anterior_cingulate_RT,DKT40  
GE_X_MFSq,0.035095909,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_RT,DKT40  
Intercept,2.438348863,Intercept,Caudal_anterior_cingulate_RT,DKT40  
MFSq,-0.0943643,MFSq * [magnetic_field_strength],Caudal_anterior_cingulate_RT,DKT40  
Philips,0.072256368,Philips * P_[modality_manuf_id],Caudal_anterior_cingulate_RT,DKT40  
PHILIPS_X_MFSq,0.06407293,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_RT,DKT40  
RMSE,0.243212459,RMSE,Caudal_anterior_cingulate_RT,DKT40  
sexq,0,sexq * [gender],Caudal_anterior_cingulate_RT,DKT40  
Volume,0,[volume],Caudal_anterior_cingulate_RT,DKT40  
agec1,-3.328105664,agec1 * agec,Caudal_anterior_cingulate_RV,DKT40  
agec2,0.116934547,"agec2 * pow(agec, 2)",Caudal_anterior_cingulate_RV,DKT40  
agec3,-0.00343409,"agec3 * pow(agec, 3)",Caudal_anterior_cingulate_RV,DKT40  
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],Caudal_anterior_cingulate_RV,DKT40  
eTIVc1,0.00094428,eTIVc1 * eTIVc,Caudal_anterior_cingulate_RV,DKT40  
eTIVc2,0,"eTIVc2 * pow(eTIVc, 2)",Caudal_anterior_cingulate_RV,DKT40  
eTIVc3,0,"eTIVc3 * pow(eTIVc, 3)",Caudal_anterior_cingulate_RV,DKT40  
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_anterior_cingulate_RV,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_anterior_cingulate_RV,DKT40  
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_anterior_cingulate_RV,DKT40  
GE,-23.37288112,GE * G_[modality_manuf_id],Caudal_anterior_cingulate_RV,DKT40  
GE_X_MFSq,-5.952233724,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_RV,DKT40  
Intercept,2171.627281,Intercept,Caudal_anterior_cingulate_RV,DKT40  
MFSq,-113.1257857,MFSq * [magnetic_field_strength],Caudal_anterior_cingulate_RV,DKT40  
Philips,-77.27211288,Philips * P_[modality_manuf_id],Caudal_anterior_cingulate_RV,DKT40  
PHILIPS_X_MFSq,114.8969527,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_anterior_cingulate_RV,DKT40  
RMSE,462.103668,RMSE,Caudal_anterior_cingulate_RV,DKT40  
sexq,0,sexq * [gender],Caudal_anterior_cingulate_RV,DKT40  
Volume,0,[volume],Caudal_anterior_cingulate_RV,DKT40  
agec1,-3.684182132,agec1 * agec,Caudal_middle_frontal_LS,DKT40  
agec2,0.000132779,"agec2 * pow(agec, 2)",Caudal_middle_frontal_LS,DKT40  
agec3,-0.001268288,"agec3 * pow(agec, 3)",Caudal_middle_frontal_LS,DKT40  
AGEc_X_SEXq,0.582589237,AGEc_X_SEXq * agec * [gender],Caudal_middle_frontal_LS,DKT40  
eTIVc1,0.00145252,eTIVc1 * eTIVc,Caudal_middle_frontal_LS,DKT40  
eTIVc2,4.17E-10,"eTIVc2 * pow(eTIVc, 2)",Caudal_middle_frontal_LS,DKT40  
eTIVc3,-1.14E-15,"eTIVc3 * pow(eTIVc, 3)",Caudal_middle_frontal_LS,DKT40  
eTIVc_X_GE,0.000166659,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_middle_frontal_LS,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_middle_frontal_LS,DKT40  
eTIVc_X_PHILIPS,-0.000117364,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_middle_frontal_LS,DKT40  
GE,-10.50473277,GE * G_[modality_manuf_id],Caudal_middle_frontal_LS,DKT40  
GE_X_MFSq,-74.78881303,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_LS,DKT40  
Intercept,2351.298422,Intercept,Caudal_middle_frontal_LS,DKT40  
MFSq,-6.664483974,MFSq * [magnetic_field_strength],Caudal_middle_frontal_LS,DKT40  
Philips,-72.52089122,Philips * P_[modality_manuf_id],Caudal_middle_frontal_LS,DKT40  
PHILIPS_X_MFSq,4.275240113,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_LS,DKT40  
RMSE,324.2983195,RMSE,Caudal_middle_frontal_LS,DKT40  
sexq,17.24456127,sexq * [gender],Caudal_middle_frontal_LS,DKT40  
Volume,0,[volume],Caudal_middle_frontal_LS,DKT40  
agec1,-0.002972844,agec1 * agec,Caudal_middle_frontal_LT,DKT40  
agec2,5.52E-05,"agec2 * pow(agec, 2)",Caudal_middle_frontal_LT,DKT40  
agec3,-1.65E-06,"agec3 * pow(agec, 3)",Caudal_middle_frontal_LT,DKT40  
AGEc_X_SEXq,-0.000623955,AGEc_X_SEXq * agec * [gender],Caudal_middle_frontal_LT,DKT40  
eTIVc1,5.52E-08,eTIVc1 * eTIVc,Caudal_middle_frontal_LT,DKT40  
eTIVc2,-1.56E-14,"eTIVc2 * pow(eTIVc, 2)",Caudal_middle_frontal_LT,DKT40  
eTIVc3,3.57E-19,"eTIVc3 * pow(eTIVc, 3)",Caudal_middle_frontal_LT,DKT40  
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_middle_frontal_LT,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_middle_frontal_LT,DKT40  
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_middle_frontal_LT,DKT40  
GE,-0.036021886,GE * G_[modality_manuf_id],Caudal_middle_frontal_LT,DKT40  
GE_X_MFSq,0.036733838,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_LT,DKT40  
Intercept,2.516873689,Intercept,Caudal_middle_frontal_LT,DKT40  
MFSq,-0.053481326,MFSq * [magnetic_field_strength],Caudal_middle_frontal_LT,DKT40  
Philips,-0.080855409,Philips * P_[modality_manuf_id],Caudal_middle_frontal_LT,DKT40  
PHILIPS_X_MFSq,0.132095983,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_LT,DKT40  
RMSE,0.147938535,RMSE,Caudal_middle_frontal_LT,DKT40  
sexq,-0.049335069,sexq * [gender],Caudal_middle_frontal_LT,DKT40  
Volume,0,[volume],Caudal_middle_frontal_LT,DKT40  
agec1,-20.02594923,agec1 * agec,Caudal_middle_frontal_LV,DKT40  
agec2,0.282819334,"agec2 * pow(agec, 2)",Caudal_middle_frontal_LV,DKT40  
agec3,-0.008364159,"agec3 * pow(agec, 3)",Caudal_middle_frontal_LV,DKT40  
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],Caudal_middle_frontal_LV,DKT40  
eTIVc1,0.004055128,eTIVc1 * eTIVc,Caudal_middle_frontal_LV,DKT40  
eTIVc2,1.47E-09,"eTIVc2 * pow(eTIVc, 2)",Caudal_middle_frontal_LV,DKT40  
eTIVc3,-3.40E-15,"eTIVc3 * pow(eTIVc, 3)",Caudal_middle_frontal_LV,DKT40  
eTIVc_X_GE,0.000414378,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_middle_frontal_LV,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_middle_frontal_LV,DKT40  
eTIVc_X_PHILIPS,-0.000478287,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_middle_frontal_LV,DKT40  
GE,-151.5901165,GE * G_[modality_manuf_id],Caudal_middle_frontal_LV,DKT40  
GE_X_MFSq,-192.0303073,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_LV,DKT40  
Intercept,6445.632128,Intercept,Caudal_middle_frontal_LV,DKT40  
MFSq,-144.8959912,MFSq * [magnetic_field_strength],Caudal_middle_frontal_LV,DKT40  
Philips,-366.1588651,Philips * P_[modality_manuf_id],Caudal_middle_frontal_LV,DKT40  
PHILIPS_X_MFSq,183.0972533,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_LV,DKT40  
RMSE,953.9889936,RMSE,Caudal_middle_frontal_LV,DKT40  
sexq,-83.62158788,sexq * [gender],Caudal_middle_frontal_LV,DKT40  
Volume,0,[volume],Caudal_middle_frontal_LV,DKT40  
agec1,-4.273886405,agec1 * agec,Caudal_middle_frontal_RS,DKT40  
agec2,0,"agec2 * pow(agec, 2)",Caudal_middle_frontal_RS,DKT40  
agec3,0,"agec3 * pow(agec, 3)",Caudal_middle_frontal_RS,DKT40  
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],Caudal_middle_frontal_RS,DKT40  
eTIVc1,0.001535819,eTIVc1 * eTIVc,Caudal_middle_frontal_RS,DKT40  
eTIVc2,3.31E-10,"eTIVc2 * pow(eTIVc, 2)",Caudal_middle_frontal_RS,DKT40  
eTIVc3,-1.48E-15,"eTIVc3 * pow(eTIVc, 3)",Caudal_middle_frontal_RS,DKT40  
eTIVc_X_GE,0.00017014,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_middle_frontal_RS,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_middle_frontal_RS,DKT40  
eTIVc_X_PHILIPS,-0.000195374,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],Caudal_middle_frontal_RS,DKT40  
GE,20.67154906,GE * G_[modality_manuf_id],Caudal_middle_frontal_RS,DKT40  
GE_X_MFSq,-96.01222163,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_RS,DKT40  
Intercept,2175.329017,Intercept,Caudal_middle_frontal_RS,DKT40  
MFSq,30.16176801,MFSq * [magnetic_field_strength],Caudal_middle_frontal_RS,DKT40  
Philips,-38.81017678,Philips * P_[modality_manuf_id],Caudal_middle_frontal_RS,DKT40  
PHILIPS_X_MFSq,-56.30044877,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],Caudal_middle_frontal_RS,DKT40  
RMSE,316.9574104,RMSE,Caudal_middle_frontal_RS,DKT40  
sexq,0,sexq * [gender],Caudal_middle_frontal_RS,DKT40  
Volume,0,[volume],Caudal_middle_frontal_RS,DKT40  
agec1,-0.002309006,agec1 * agec,Caudal_middle_frontal_RT,DKT40  
agec2,6.20E-05,"agec2 * pow(agec, 2)",Caudal_middle_frontal_RT,DKT40  
agec3,-2.25E-06,"agec3 * pow(agec, 3)",Caudal_middle_frontal_RT,DKT40  
AGEc_X_SEXq,-0.000990501,AGEc_X_SEXq * agec * [gender],Caudal_middle_frontal_RT,DKT40  
eTIVc1,5.76E-08,eTIVc1 * eTIVc,Caudal_middle_frontal_RT,DKT40  
eTIVc2,-6.95E-14,"eTIVc2 * pow(eTIVc, 2)",Caudal_middle_frontal_RT,DKT40  
eTIVc3,2.94E-19,"eTIVc3 * pow(eTIVc, 3)",Caudal_middle_frontal_RT,DKT40  
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],Caudal_middle_frontal_RT,DKT40  
eTIVc_X_MFSq,0,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],Caudal_middle_frontal_RT,DKT40  
